[I 2026-05-30 00:39:59,902] A new study created in RDB with name: skb8_v81
Train pool: 22 opps
Heldout pool: 8 opps
Params: 14
Trials: 150, seeds: 20, n_tables: 15

Enqueued anchor trial: 14/14 params
Resuming from 1 existing trials. Target: 150
[I 2026-05-30 00:48:30,624] Trial 11 finished with value: 1262.0395163213634 and parameters: {'equity_call_threshold': 0.4453382420988643, 'pot_odds_buffer_normal': 0.0822779612782324, 'equity_thin_value': 0.44844018795829943, 'bluff_freq_ip': 0.02224005626845839, 'bluff_freq_oop': 0.03548132432909736, 'cbet_freq_base': 0.6937017006434842, 'threebet_call_threshold_pct': 0.18411445652920522, 'fourbet_call_threshold_pct': 0.08076467821069866, 'fourbet_bluff_freq': 0.06891069366984623, 'k_commit': 0.00039367122749574355, 'river_v2b_half_pot': 2.9798014189216366, 'skb8_bet_to_mean_multiplier': 1.751215369468771, 'skb8_min_obs_for_signal': 27, 'skb8_min_bets_obs_for_signal': 3}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:49:13,125] Trial 12 finished with value: 1258.8094839950422 and parameters: {'equity_call_threshold': 0.4327512119911802, 'pot_odds_buffer_normal': 0.08029518948879442, 'equity_thin_value': 0.44503159329969244, 'bluff_freq_ip': 0.02097367982186316, 'bluff_freq_oop': 0.033632311940862435, 'cbet_freq_base': 0.6992993261159907, 'threebet_call_threshold_pct': 0.18258754143402392, 'fourbet_call_threshold_pct': 0.10400998246476745, 'fourbet_bluff_freq': 0.05328507892945214, 'k_commit': 0.0027351043457266985, 'river_v2b_half_pot': 2.471202889427237, 'skb8_bet_to_mean_multiplier': 1.6938889188354918, 'skb8_min_obs_for_signal': 41, 'skb8_min_bets_obs_for_signal': 8}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:49:55,140] Trial 13 finished with value: 1233.6887932810182 and parameters: {'equity_call_threshold': 0.42279652942961926, 'pot_odds_buffer_normal': 0.11999806993837149, 'equity_thin_value': 0.4481275267929726, 'bluff_freq_ip': 0.02660097668492914, 'bluff_freq_oop': 0.03358394007383037, 'cbet_freq_base': 0.6645820425720987, 'threebet_call_threshold_pct': 0.17950205181803197, 'fourbet_call_threshold_pct': 0.10344202389796887, 'fourbet_bluff_freq': 0.05948973248276333, 'k_commit': 0.00280895782958942, 'river_v2b_half_pot': 2.998570914537065, 'skb8_bet_to_mean_multiplier': 1.7144640006689094, 'skb8_min_obs_for_signal': 42, 'skb8_min_bets_obs_for_signal': 8}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:50:37,932] Trial 14 finished with value: 1215.7688470805185 and parameters: {'equity_call_threshold': 0.4644304970016985, 'pot_odds_buffer_normal': 0.08024800458839661, 'equity_thin_value': 0.4285305223318391, 'bluff_freq_ip': 0.02614967456410852, 'bluff_freq_oop': 0.03281276358164103, 'cbet_freq_base': 0.6974368122894165, 'threebet_call_threshold_pct': 0.143006834174865, 'fourbet_call_threshold_pct': 0.08044714454909192, 'fourbet_bluff_freq': 0.08691229275554108, 'k_commit': 0.003253177318356281, 'river_v2b_half_pot': 2.3283719933911597, 'skb8_bet_to_mean_multiplier': 1.7251636429986372, 'skb8_min_obs_for_signal': 50, 'skb8_min_bets_obs_for_signal': 8}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:51:19,871] Trial 15 finished with value: 1241.0563544916881 and parameters: {'equity_call_threshold': 0.42603308486842506, 'pot_odds_buffer_normal': 0.13895374498936983, 'equity_thin_value': 0.4639519999141141, 'bluff_freq_ip': 0.01721800280232666, 'bluff_freq_oop': 0.03438911880050057, 'cbet_freq_base': 0.500654951960635, 'threebet_call_threshold_pct': 0.18311299423043334, 'fourbet_call_threshold_pct': 0.10076626084275639, 'fourbet_bluff_freq': 0.09820143919108625, 'k_commit': 0.0025759999244787547, 'river_v2b_half_pot': 2.299724673397109, 'skb8_bet_to_mean_multiplier': 1.4187215923480003, 'skb8_min_obs_for_signal': 40, 'skb8_min_bets_obs_for_signal': 9}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:52:01,679] Trial 16 finished with value: 1221.7078828013027 and parameters: {'equity_call_threshold': 0.46410827467755406, 'pot_odds_buffer_normal': 0.1173300381387396, 'equity_thin_value': 0.4239839687584446, 'bluff_freq_ip': 0.01979713686224663, 'bluff_freq_oop': 0.04980082434570003, 'cbet_freq_base': 0.6604908010879327, 'threebet_call_threshold_pct': 0.15329680232109558, 'fourbet_call_threshold_pct': 0.1110690432599215, 'fourbet_bluff_freq': 0.17970634687165526, 'k_commit': 5.940835545803448e-05, 'river_v2b_half_pot': 2.732066492356705, 'skb8_bet_to_mean_multiplier': 1.794861980604711, 'skb8_min_obs_for_signal': 48, 'skb8_min_bets_obs_for_signal': 3}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:52:43,405] Trial 17 finished with value: 1213.4858031185718 and parameters: {'equity_call_threshold': 0.4990764177574563, 'pot_odds_buffer_normal': 0.1535978204240066, 'equity_thin_value': 0.46578704082401545, 'bluff_freq_ip': 0.011026278677476058, 'bluff_freq_oop': 0.029794098105032325, 'cbet_freq_base': 0.6293291373608454, 'threebet_call_threshold_pct': 0.19098172302910865, 'fourbet_call_threshold_pct': 0.09486395795241587, 'fourbet_bluff_freq': 0.0543396008764422, 'k_commit': 0.004216414823513474, 'river_v2b_half_pot': 2.4965739772560327, 'skb8_bet_to_mean_multiplier': 1.6458504577190622, 'skb8_min_obs_for_signal': 37, 'skb8_min_bets_obs_for_signal': 7}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:53:25,383] Trial 18 finished with value: 1246.4199267906884 and parameters: {'equity_call_threshold': 0.44893363238458944, 'pot_odds_buffer_normal': 0.0885871981023288, 'equity_thin_value': 0.4588837924121462, 'bluff_freq_ip': 0.03117560709098327, 'bluff_freq_oop': 0.03720743945389996, 'cbet_freq_base': 0.6776112157068278, 'threebet_call_threshold_pct': 0.16136397581732703, 'fourbet_call_threshold_pct': 0.10641369134129482, 'fourbet_bluff_freq': 0.08943697696366348, 'k_commit': 0.0017524535604714058, 'river_v2b_half_pot': 2.865154604500805, 'skb8_bet_to_mean_multiplier': 1.890349734554762, 'skb8_min_obs_for_signal': 29, 'skb8_min_bets_obs_for_signal': 5}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:54:07,554] Trial 19 finished with value: 1176.8736064864152 and parameters: {'equity_call_threshold': 0.4185395458410897, 'pot_odds_buffer_normal': 0.11069009624725319, 'equity_thin_value': 0.42334495161881136, 'bluff_freq_ip': 0.021375811624328254, 'bluff_freq_oop': 0.04407249542529686, 'cbet_freq_base': 0.6633327658002933, 'threebet_call_threshold_pct': 0.12938111124242063, 'fourbet_call_threshold_pct': 0.11523616508623474, 'fourbet_bluff_freq': 0.08434402111987711, 'k_commit': 0.004000890351095038, 'river_v2b_half_pot': 2.612680994530932, 'skb8_bet_to_mean_multiplier': 1.7682312224124286, 'skb8_min_obs_for_signal': 34, 'skb8_min_bets_obs_for_signal': 9}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:54:48,227] Trial 20 finished with value: 1218.6355100815517 and parameters: {'equity_call_threshold': 0.48272862420677193, 'pot_odds_buffer_normal': 0.12780621794503294, 'equity_thin_value': 0.47718845282520894, 'bluff_freq_ip': 0.033344460614457824, 'bluff_freq_oop': 0.029978250668787076, 'cbet_freq_base': 0.6139284140937309, 'threebet_call_threshold_pct': 0.17260438999235445, 'fourbet_call_threshold_pct': 0.08070668729533945, 'fourbet_bluff_freq': 0.16996631472790835, 'k_commit': 0.0017993494096256546, 'river_v2b_half_pot': 2.181976493635296, 'skb8_bet_to_mean_multiplier': 1.6344744317149054, 'skb8_min_obs_for_signal': 39, 'skb8_min_bets_obs_for_signal': 5}. Best is trial 11 with value: 1262.0395163213634.
